|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1955-09-01|101155|0|101155|545.0|0|545.0|44810.0|0|44810.0|146510|0|146510
1955-10-01|98330|0|98330|611.0|0|611.0|33069.0|0|33069.0|132010|0|132010
1955-11-01|100681|0|100681|517.0|0|517.0|36203.0|0|36203.0|137401|0|137401
1955-12-01|99328|0|99328|606.0|0|606.0|29767.0|0|29767.0|129701|0|129701
1956-01-01|101591|0|101591|648.0|0|648.0|39115.0|0|39115.0|141354|0|141354
1956-02-01|96651|0|96651|487.0|0|487.0|36523.0|0|36523.0|133661|0|133661
1956-03-01|105791|0|105791|576.0|0|576.0|42505.0|0|42505.0|148872|0|148872
1956-04-01|102754|0|102754|525.0|0|525.0|39575.0|0|39575.0|142854|0|142854
1956-05-01|105068|0|105068|576.0|0|576.0|37403.0|0|37403.0|143047|0|143047
1956-06-01|106453|0|106453|580.0|0|580.0|32584.0|0|32584.0|139617|0|139617
1956-07-01|109658|0|109658|531.0|0|531.0|42932.0|0|42932.0|153121|0|153121
1956-08-01|111784|0|111784|447.0|0|447.0|41794.0|0|41794.0|154025|0|154025
1956-09-01|105096|0|105096|601.0|0|601.0|36554.0|0|36554.0|142251|0|142251
1956-10-01|108933|0|108933|632.0|0|632.0|37377.0|0|37377.0|146942|0|146942
1956-11-01|109596|0|109596|571.0|0|571.0|42725.0|0|42725.0|152892|0|152892
1956-12-01|108037|0|108037|653.0|0|653.0|33913.0|0|33913.0|142603|0|142603
1957-01-01|114792|0|114792|749.0|0|749.0|39347.0|0|39347.0|154888|0|154888
1957-02-01|108608|0|108608|454.0|0|454.0|37892.0|0|37892.0|146954|0|146954
1957-03-01|123019|0|123019|571.0|0|571.0|40123.0|0|40123.0|163713|0|163713
1957-04-01|114575|0|114575|692.0|0|692.0|37112.0|0|37112.0|152379|0|152379
1957-05-01|120825|0|120825|514.0|0|514.0|36163.0|0|36163.0|157502|0|157502
1957-06-01|116727|0|116727|643.0|0|643.0|33305.0|0|33305.0|150675|0|150675
1957-07-01|126346|0|126346|940.0|0|940.0|42801.0|0|42801.0|170087|0|170087
1957-08-01|127146|0|127146|800.0|0|800.0|42699.0|0|42699.0|170645|0|170645
1957-09-01|128616|0|128616|1039.0|0|1039.0|48372.0|0|48372.0|178027|0|178027
1957-10-01|127224|0|127224|860.0|0|860.0|42522.0|0|42522.0|170606|0|170606
